epoch,train_loss,train_acc,val_loss,val_acc,lr
1,1.1165373493660373,0.6765615854168409,0.4457934216082653,0.842873831775701,0.001
2,0.2801236551395477,0.8994063048749895,0.2521282198760554,0.9012850467289719,0.001
3,0.21885946474253548,0.9239066811606321,0.1391018624722122,0.9538551401869159,0.001
4,0.1841771541189336,0.9354461075340748,0.33415070889848414,0.8866822429906542,0.001
5,0.15648077860772386,0.9441424868300025,0.2554784597150076,0.8872663551401869,0.001
6,0.14316555706391476,0.9499122000167238,0.10687900671439472,0.9561915887850467,0.001
7,0.13334046025179594,0.9524207709674722,0.20829686929828653,0.9287383177570093,0.001
8,0.12042436739210999,0.956350865456978,0.1280259871681299,0.9585280373831776,0.001
9,0.11201395430228404,0.9606990551049419,0.16869564804413886,0.9304906542056075,0.001
10,0.11530886007156228,0.9576887699640438,0.20516273132133706,0.9450934579439252,0.0001
11,0.0724573784748994,0.973409147922067,0.06398728638713326,0.9766355140186916,0.0001
12,0.06387943138286424,0.9759177188728154,0.06427351964602822,0.9748831775700935,0.0001
13,0.06378879131770611,0.9762521949995819,0.06269231336582974,0.9789719626168224,0.0001
14,0.05996877985989851,0.9785099088552555,0.07237202067485202,0.9725467289719626,0.0001
15,0.059741980480862676,0.9789280040137135,0.057258883036377134,0.9801401869158879,0.0001
16,0.05994880828797414,0.9785099088552555,0.057259082744141744,0.9801401869158879,0.0001
17,0.052771244403988796,0.9800150514257044,0.06345650843980018,0.9737149532710281,0.0001
18,0.054245335634388804,0.9805167656158542,0.05571447735191018,0.9807242990654206,0.0001
19,0.05554846511380122,0.97926248014048,0.05557162220868343,0.9813084112149533,0.0001
20,0.0557221834451952,0.9781754327284891,0.057859517953785085,0.9783878504672897,0.0001
